time,pm1,
11:20:42,2,
11:20:47,0,
11:20:52,0,
11:20:57,4,
11:21:02,0,
11:21:07,0,
11:21:12,0,
11:21:17,0,
11:21:22,2,
11:21:27,0,
11:21:32,0,
11:21:37,1,
11:21:42,0,
11:21:47,0,
11:21:52,0,
11:21:57,0,
11:22:02,0,
11:22:07,0,
11:22:12,0,
11:22:17,0,
11:22:22,0,
11:22:27,1,
11:22:32,2,
11:22:37,4,
11:22:42,2,
11:22:47,3,
11:22:52,2,
11:22:57,3,
11:23:02,2,
11:23:07,3,
11:23:12,0,
11:23:17,4,
11:23:22,2,
11:23:27,0,
11:23:32,3,
11:23:37,2,
11:23:42,3,
11:23:47,0,
11:23:52,0,
11:23:57,0,
11:24:02,4,
11:24:07,3,
11:24:12,5,
11:24:17,2,
11:24:22,0,
11:24:27,2,
11:24:32,0,
11:24:37,2,
11:24:42,4,
11:24:47,2,
11:24:52,4,
11:24:57,3,
11:25:02,0,
11:25:07,0,
11:25:12,0,
11:25:17,0,
11:25:22,0,
11:25:27,1,
11:25:32,2,
11:25:37,3,
