time,pm1,pm2,pm10
02:29:27,13,1,15
02:29:28,18,2,6
02:29:29,17,4,0
02:29:30,7,14,19
02:29:31,4,18,3
02:29:32,12,17,5
02:29:33,8,3,13
02:29:34,7,20,4
02:29:35,10,15,18
02:29:36,1,9,0
02:29:37,17,20,1
02:29:38,9,6,0
02:29:39,14,2,5
02:29:40,19,0,14
02:29:41,1,8,18
02:29:42,9,13,9
02:29:43,16,7,19
02:29:44,12,1,19
02:29:45,4,11,6
02:29:46,17,11,4
02:29:47,9,3,11
02:29:48,0,19,5
02:29:49,14,0,8
02:29:50,19,13,6
03:40:50,3,5,18
03:40:51,18,0,8
03:40:52,9,4,20
03:40:53,8,19,10
03:40:54,12,7,2
03:40:55,2,11,17
03:40:56,16,14,13
03:40:57,17,19,8
03:40:58,6,10,5
03:40:59,1,2,17
03:41:00,19,13,5
03:41:01,7,3,13
05:29:50,9,16,19
05:29:51,15,10,8
05:29:52,9,7,13
05:29:53,9,17,7
05:29:54,15,20,15
05:29:55,18,9,8
05:29:56,0,13,16
05:29:57,16,8,8
05:29:58,10,10,17
05:29:59,2,9,0
05:30:00,2,4,3
05:30:01,16,13,1
05:30:02,11,1,3
05:30:03,10,4,10
05:30:04,2,12,4
05:30:05,12,17,4
05:30:06,16,6,17
05:30:07,13,17,9
05:30:08,8,3,0
05:30:09,6,1,6
05:30:10,14,4,0
05:30:11,11,8,6
05:30:12,18,12,9
05:30:13,15,3,17
05:30:14,13,8,9
05:30:15,20,6,14
05:30:16,20,20,11
05:30:17,13,12,20
17:54:09,14,15,11
17:54:10,7,13,19
17:54:11,2,1,4
17:54:12,8,13,10
17:54:13,11,0,19
17:54:14,1,19,14
17:54:15,9,7,4
17:54:16,3,8,19
17:54:17,9,14,20
17:54:18,17,11,0
17:54:19,20,4,14
17:54:20,4,15,11
17:54:21,12,7,16
17:54:22,3,10,13
17:54:23,20,7,14
17:54:24,14,13,20
17:54:25,14,1,18
17:54:26,16,8,14
17:54:27,5,15,12
17:54:28,6,2,7
17:54:29,9,6,7
17:54:30,7,13,3
17:54:31,3,6,13
17:54:32,20,20,13
17:54:33,19,15,5
17:54:34,0,20,1
17:54:35,17,18,15
17:54:36,6,5,12
17:54:37,0,10,2
